Timestamp (millisec since midnight today),Test time,pwm_duty_limb0_fwd,pwm_duty_limb0_rev,pwm_duty_limb1_fwd,pwm_duty_limb1_rev,unconstrained_pwm_duty_lim0_fwd,unconstrained_pwm_duty_lim0_rev,unconstrained_pwm_duty_lim1_fwd,unconstrained_pwm_duty_lim1_rev,u_setpoint_limb0,u_setpoint_limb1,temp_limit,Bendlabs_0,Bendlabs_1,MCPtemp_0,MCPtemp_1,MCPtemp_2,MCPtemp_3,tagid_x_101,tagid_y_101,tagid_x_102,tagid_y_102,tagid_x_103,tagid_y_103,tagid_x_104,tagid_y_104,tagid_x_105,tagid_y_105,tagid_x_106,tagid_y_106,tagid_x_107,tagid_y_107,tagid_x_108,tagid_y_108,tagid_x_109,tagid_y_109
62568092,0,0,0,0,0,0,0,0,0,0,0,115,0,0,31.88,30.5,35,30.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62568292,0,0,0,0,0,0,0,0,0,0,0,115,0,0,31.88,30.5,35,30.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62568492,0.2,0,0,0,0,0,0,0,0,0,0,115,0,0,31.69,30.5,34.81,30.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62568692,0.399,0,0,0,0,0,0,0,0,0,0,115,0,0,31.69,30.5,34.81,30.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62568892,0.599,0,0,0,0,0,0,0,0,0,0,115,0,0,31.63,30.38,34.5,30.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62569092,0.799,0,0,0,0,0,0,0,0,0,0,115,0,0,31.63,30.38,34.5,30.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62569292,1,0,0,0,0,0,0,0,0,0,0,115,0,0,31.63,30.38,34.5,30.69,34.1435830849976,54.4037397671102,110.491915207331,70.3918234378839,169.887486128617,95.9316947927113,225.681624741399,129.175224871189,285.713229323121,171.753144821557,347.075587593708,219.324847246692,399.390959772507,259.314539841885,441.165577262486,296.199977324638,486.635255250389,334.370620128
62569492,1.2,0.35,0,0,0,0.35,0,0,0,0.35,0,115,0,0,31.44,30.38,34.63,30.69,33.2706401008992,53.8785361505669,109.691669170099,69.7143119472557,169.455668522887,95.3826060346732,225.150295845563,128.771091915869,285.240627357391,171.794851748868,346.728812407602,219.700044537857,399.291154773707,259.858288250981,441.11541828914,296.354969279468,486.522338014236,335.462402121777
62569692,1.401,0.35,0,0,0,0.35,0,0,0,0.35,0,115,0,0,31.44,30.38,34.63,30.69,33.6084358092679,54.1650638362219,110.055034758855,70.0361644332465,169.407780776844,96.1946180559384,224.855211023987,129.943947175747,284.21005506195,173.613781318953,345.33328213523,221.754144426982,396.6941088369,263.004249309391,437.847655646695,300.523465088653,482.776159804342,339.714541278009
62569892,1.6,0.35,0,0,0,0.35,0,0,0,0.35,0,115,0,0,31.44,30.31,34.31,30.63,33.6071980927296,54.2320299720076,109.896504608131,70.1610311486745,169.194292589142,96.6718111465544,224.150063414795,131.021980341952,283.067428231338,175.471550766181,343.198980840055,224.707946424044,394.213501472457,266.194853470233,434.951725797686,304.18387801111,479.27756068338,343.681068441346
62570092,1.802,0.35,0,0,0,0.35,0,0,0,0.35,0,115,0,0,31.44,30.31,34.31,30.63,33.649857782767,54.1486666795393,109.853473052553,70.1732885139305,168.795498050822,97.372855789142,223.018149901546,132.977849484162,280.704832362199,178.831996943245,339.380154846777,229.618724734768,389.433983101635,272.307532136093,429.006801732638,311.308017897461,472.315126747143,351.683019124902
62570293,2,0.35,0,0,0,0.35,0,0,0,0.35,0,115,0,0,31.44,30.31,34.31,30.63,33.636093134442,54.138943753474,109.849303198251,70.2658096484327,168.308996241473,98.0562346413935,221.62683437905,134.773827021505,277.996352457721,182.23989146444,335.272633231022,234.613117767675,385.194180523478,277.243057011693,422.511794176286,318.856650763259,464.47693125644,360.450277167651
