Tripod Open-Loop Gait Timepoints Trajectory,,,,,,,,,,,
Usage: times and duty cycles,,,,,,,,,,,
There are 2*numLimbs = 10 SMAs.,L1_CW,L1_CCW,S1_CW,S1_CCW,L2_CW,L2_CCW,S2_CW,S2_CCW,L3_CW,L3_CCW,
Simulation time (sec),duty_0,duty_1,duty_2,duty_3,duty_4,duty_5,duty_6,duty_7,duty_8,duty_9,EmptyColForSavingExtraComma
0,0,0,0,0,0,0,0,0,0,0,
0.2,0.005,0,0,0,0,0.005,0,0,0,0.005,
1,0.01,0,0,0,0,0.01,0,0.02,0,0,
1.5,0,0,0,0,0,0,0,0.01,0,0.02,
2,0,0,0.005,0,0,0,0.01,0,0,0.01,
2.8,0,0.01,0.01,0,0,0.01,0.01,0,0.01,0,
3.6,0,0.01,0,0,0,0,0,0.01,0,0,
4.2,0,0,0,0.02,0.02,0,0,0,0,0,
4.6,0,0,0,0,0,0,0,0.01,0,0,
5.2,0,0,0,0,0,0,0,0,0,0,
5.6,0,0,0,0,0,0,0,0,0,0,
9.2,0.005,0,0,0,0,0.005,0,0,0,0.005,
10,0.01,0,0,0,0,0.01,0,0.02,0,0,
10.5,0,0,0,0,0,0,0,0.01,0,0.02,
11,0,0,0.005,0,0,0,0.01,0,0,0.01,
11.8,0,0.01,0.01,0,0,0.01,0.01,0,0.01,0,
12.6,0,0.01,0,0,0,0,0,0.01,0,0,
13.2,0,0,0,0.02,0.02,0,0,0,0,0,
13.6,0,0,0,0,0,0,0,0.01,0,0,
14.2,0,0,0,0,0,0,0,0,0,0,
14.6,0,0,0,0,0,0,0,0,0,0,
18.2,0.005,0,0,0,0,0.005,0,0,0,0.005,
19,0.01,0,0,0,0,0.01,0,0.02,0,0,
19.5,0,0,0,0,0,0,0,0.01,0,0.02,
20,0,0,0.005,0,0,0,0.01,0,0,0.01,
20.8,0,0.01,0.01,0,0,0.01,0.01,0,0.01,0,
21.6,0,0.01,0,0,0,0,0,0.01,0,0,
22.2,0,0,0,0.02,0.02,0,0,0,0,0,
22.6,0,0,0,0,0,0,0,0.01,0,0,
23.2,0,0,0,0,0,0,0,0,0,0,
23.6,0,0,0,0,0,0,0,0,0,0,
